n#010711,n02065599
n#027523,n04964799
n#022298,n04033557
a#001296,a00235731
n#064119,n11876204
n#054640,n10126708
n#023178,n04181561
a#010513,a01916979
a#013964,a02518370
n#046255,n08516002
a#007317,a01342572
n#083285,n80001190
n#066449,n12363110
n#000080,n00040804
n#057953,n10685480
v#003375,v00687738
n#038798,n07171940
n#045584,n08377085
a#013554,a02445978
n#029644,n05371144
n#033857,n06259584
n#073362,n13712890
n#077819,n14531056
a#009366,a01709081
n#055849,n10321882
n#022006,n03983712
n#062255,n11458102
n#068943,n12882779
n#053340,n09903936
n#023557,n04244152
n#047906,n08886277
n#065160,n12093088
n#025121,n04502364
n#070614,n13228194
n#068842,n12862312
a#001850,a00332869
n#007900,n01556182
v#011883,v02380980
n#017463,n03215191
a#013437,a02428377
n#079453,n14833618
n#047584,n08807716
a#009275,a01695041
a#017122,a02997227
a#009384,a01711910
n#081498,n15190895
r#000992,r00150558
n#005093,n01000610
n#002635,n00532896
a#011375,a02076713
n#008095,n01588172
r#000885,r00136267
n#065998,n12270946
n#007413,n01456631
a#017260,a03017468
v#001784,v00365446
n#007271,n01424165
a#012236,a02214366
n#071842,n13442312
v#002592,v00529582
v#012977,v02616236
n#083105,n80000992
a#005964,a01086213
a#008644,a01576729
n#072741,n13623455
a#007817,a01431112
n#034327,n06353934
n#009744,n01896561
n#063798,n11807696
v#007515,v01514126
n#038591,n07130918
n#022667,n04097527
v#004473,v00928232
a#008745,a01598859
v#004520,v00938621
n#047375,n08760228
n#055883,n10327583
n#005919,n01156899
n#069627,n13022078
v#005788,v01189604
a#003720,a00669367
a#004256,a00772776
n#020015,n03646020
n#036548,n06775218
a#015601,a02764251
n#002047,n00416216
n#033598,n06205827
a#016781,a02943771
v#002371,v00488301
a#014641,a02627383
v#009481,v01909161
n#036614,n06788262
n#035931,n06659397
n#010035,n01948788
n#078230,n14604857
a#002755,a00489863
n#033074,n06073748
a#015541,a02756346
n#081798,n15242432
a#002642,a00469170
a#015222,a02712125
v#005186,v01075327
n#005059,n00993787
n#006763,n01323781
a#016011,a02823920
n#046592,n08593130
n#067706,n12629523
n#003505,n00688462
v#013683,v02756063
n#039081,n07224684
a#003955,a00713205
n#006622,n01293167
n#005290,n01037469
r#002842,r00416553
n#060023,n11056947
n#006553,n01277755
n#030680,n05577741
n#063858,n11819912
n#040520,n07483782
a#001036,a00193015
n#069151,n12927921
n#081322,n15157041
n#082154,n80000040
n#040473,n07475870
n#000731,n00164999
a#015828,a02796194
n#033453,n06176837
n#016954,n03131193
n#056977,n10520109
n#077298,n14431902
n#000662,n00151087
a#006254,a01143750
a#018267,a80000114
n#040792,n07532440
n#050276,n09362207
a#003714,a00668366
v#009319,v01877946
n#072029,n13480541
n#000548,n00130512
a#008322,a01516832
n#050327,n09371686
n#013012,n02454999
a#016478,a02896383
n#073481,n13731959
a#014562,a02615711
a#005530,a01010025
n#013101,n02469914
n#083025,n80000911
a#012693,a02293386
a#001195,a00217728
a#009007,a01645490
a#008542,a01557120
a#004006,a00723786
n#082149,n80000035
n#020888,n03797062
n#041186,n07599383
n#009035,n01767661
n#063555,n11756329
n#081918,n15264607
n#053569,n09944160
a#005444,a00994744
n#079937,n14916369
n#001359,n00287561
v#006763,v01367069
a#014413,a02596059
r#002025,r00292021
n#011204,n02147452
n#009192,n01796105
n#077241,n14420464
n#015262,n02845576
v#009513,v01915253
v#008856,v01780104
v#010719,v02148604
n#068587,n12812121
n#008211,n01608265
n#049099,n09135590
a#000969,a00179925
n#017810,n03274435
n#058201,n10724570
n#002216,n00448232
n#073529,n13739278
n#034013,n06290539
n#074815,n13971901
n#061806,n11375087
n#016658,n03076298
n#071833,n13440063
n#077649,n14498096
n#021535,n03903290
n#024084,n04327544
n#001770,n00361932
a#002564,a00456355
n#058243,n10730728
r#001416,r00207578
n#080543,n15019972
a#002336,a00412460
n#018697,n03428226
n#075723,n14148834
a#014118,a02545257
a#002267,a00400395
n#056169,n10374415
n#076707,n14328720
n#022958,n04143365
n#030503,n05542893
r#002799,r00410720
n#007179,n01407798
v#012646,v02545272
a#001324,a00239012
n#066055,n12283981
a#011070,a02020897
n#027925,n05037037
n#070523,n13210597
a#007759,a01422098
a#000914,a00169432
v#004712,v00980453
v#006231,v01270589
n#042763,n07833535
n#078621,n14687633
a#007569,a01390215
n#027477,n04955907
v#013629,v02746449
n#058296,n10738670
n#011994,n02284224
n#049494,n09213254
n#026857,n04835488
n#050155,n09339512
r#002337,r00341835
n#049690,n09249034
n#014134,n02653497
n#074527,n13915305
r#002446,r00357052
n#082224,n80000110
n#082387,n80000273
v#013497,v02722207
n#015908,n02951358
n#029043,n05258627
r#001169,r00173884
n#001447,n00303221
v#006579,v01335075
v#001198,v00251615
n#024106,n04331126
n#052123,n09705784
n#083124,n80001011
a#017558,a03063868
a#001500,a00268383
v#006658,v01348705
n#081291,n15151255
n#060869,n11208917
n#067807,n12650038
n#050036,n09313716
n#069237,n12944590
n#079148,n14780850
n#067916,n12672289
n#027049,n04873550
n#003908,n00769401
n#059948,n11043519
n#066938,n12466727
n#040712,n07517292
n#056646,n10463386
n#077356,n14441714
n#011096,n02128925
a#000300,a00057737
v#012065,v02421921
a#011948,a02173264
n#063332,n11709674
n#004408,n00866882
n#010122,n01963730
v#007181,v01446420
v#011632,v02335262
a#010596,a01932902
n#033888,n06265983
n#025521,n04570680
a#010207,a01859368
n#057629,n10629449
n#063484,n11740414
n#065880,n12246037
n#032186,n05872098
n#054863,n10159852
v#010400,v02085742
a#013599,a02453492
n#042231,n07749731
n#075027,n14013646
n#042579,n07804152
n#080316,n14979410
n#035049,n06495824
n#029419,n05329215
n#008350,n01633250
n#015113,n02823030
n#080856,n15073784
n#010852,n02090129
n#070182,n13145924
a#007281,a01335458
a#008900,a01627049
n#011016,n02116185
n#024644,n04423845
a#006936,a01270175
r#001322,r00194362
n#016052,n02976350
n#017517,n03223923
n#053021,n09854421
a#007633,a01400098
n#042658,n07817160
n#010945,n02105251
v#006198,v01265499
n#057574,n10619176
n#066792,n12435777
n#043181,n07894298
n#018708,n03430091
n#056065,n10357012
n#025864,n04630378
a#015945,a02813680
n#014139,n02654256
v#008088,v01622445
n#029464,n05339357
n#061584,n11336176
r#000482,r00082492
n#025123,n04502670
n#007874,n01551915
r#000591,r00097522
n#015417,n02871525
a#017056,a02987454
n#068103,n12710693
n#049911,n09291340
n#078882,n14735077
a#012294,a02224509
n#062153,n11438612
n#074636,n13936557
v#011348,v02278592
n#041515,n07643891
n#035650,n06609403
v#001417,v00293528
n#048020,n08910668
n#078903,n14738752
n#014868,n02783161
n#003306,n00651813
n#011914,n02269657
a#016641,a02922448
n#024934,n04472098
a#009849,a01793106
n#076446,n14280775
n#066114,n12296218
a#010722,a01958512
n#000143,n00053806
n#066009,n12273344
n#014839,n02778131
n#026564,n04775747
a#017141,a03000110
n#029530,n05351442
r#000308,r00054950
n#042198,n07744430
n#077764,n14520518
r#002410,r00352337
n#052844,n09829305
v#005335,v01104018
n#014693,n02753710
n#077625,n14494032
v#010150,v02037472
n#030176,n05474976
n#077556,n14481080
n#017612,n03239399
a#003166,a00568171
n#065299,n12120347
n#021577,n03910601
a#004657,a00848074
a#009834,a01791036
n#045417,n08343324
n#030194,n05478526
v#010491,v02101373
n#053954,n10009926
n#053849,n09992331
n#030605,n05563770
n#019391,n03540595
n#075543,n14110411
n#055348,n10242032
v#007690,v01547641
a#016190,a02850826
a#012223,a02212473
n#062458,n11495607
n#039651,n07326880
n#057017,n10527334
v#001482,v00307191
a#009085,a01657562
a#001378,a00247013
a#018290,a80000137
n#025108,n04500613
n#006690,n01309109
a#000831,a00153652
n#025626,n04588587
n#063781,n11804082
n#031127,n05661551
a#015649,a02770742
v#001701,v00348422
n#076265,n14250433
n#073801,n13784763
n#065737,n12216382
v#003490,v00712556
n#037288,n06910517
a#015319,a02725350
v#007469,v01504298
v#011608,v02331326
a#012362,a02236645
a#000340,a00065064
n#054150,n10046717
a#011684,a02134557
a#004239,a00769121
a#008655,a01578856
n#025116,n04501713
n#072666,n13611740
n#030264,n05493141
n#038409,n07097548
a#011705,a02137305
n#063600,n11765859
n#041335,n07619594
n#065800,n12229443
n#016914,n03124590
n#073302,n13705300
a#003184,a00571424
n#013905,n02613687
n#013195,n02487547
n#003007,n00596807
n#060177,n11085402
a#015220,a02711744
v#008739,v01755389
n#074755,n13960833
a#005257,a00958880
n#053271,n09893191
a#002945,a00524965
n#005900,n01153139
n#064068,n11864364
n#033660,n06217944
v#008498,v01706129
n#077862,n14539165
a#004557,a00829146
n#081533,n15195928
a#009883,a01798828
n#045482,n08357448
n#062398,n11484260
a#011472,a02093802
n#068390,n12770068
n#081600,n15208740
v#000542,v00108747
n#022136,n04004990
n#049249,n09164417
n#052227,n09721444
n#078783,n14715679
n#043690,n07978170
n#052376,n09743690
n#054491,n10103228
n#043469,n07934678
a#013741,a02479492
n#036936,n06843148
n#070692,n13243374
a#009133,a01665581
n#049329,n09178481
n#069235,n12944238
v#010627,v02130017
n#045701,n08400965
n#082222,n80000108
a#015881,a02803579
a#011753,a02145918
n#068431,n12777892
v#005444,v01124608
r#003039,r00443461
n#034537,n06392787
n#078777,n14714817
a#000131,a00027074
n#049162,n09146912
a#012467,a02254088
n#003727,n00730708
n#063827,n11813309
v#000129,v00029214
v#000219,v00045532
n#060423,n11131808
n#000489,n00119568
r#002580,r00379125
n#044880,n08240484
n#034387,n06366391
n#037593,n06953332
a#009424,a01718470
n#062779,n11575425
n#061398,n11305258
n#003045,n00603995
n#018597,n03411208
n#047836,n08874273
n#039065,n07221756
n#024709,n04434059
n#073750,n13775093
n#030437,n05529729
a#008367,a01524445
v#007002,v01411085
n#079229,n14793533
n#038137,n07044276
n#002286,n00459570
a#015772,a02788005
a#016272,a02864068
n#059680,n10993350
n#050708,n09446868
a#001426,a00255720
n#005234,n01026482
v#005983,v01227488
n#067179,n12520864
a#014150,a02550891
a#001575,a00283580
r#002500,r00365284
n#029321,n05310596
r#001379,r00202554
n#044542,n08170686
n#069053,n12907671
a#009493,a01730745
a#005102,a00931395
n#050684,n09442496
n#013511,n02543412
a#000952,a00176676
v#009348,v01884383
n#008208,n01607812
r#003124,r00454512
n#050963,n09493807
n#082522,n80000408
n#015983,n02965024
n#054627,n10123214
n#009385,n01827202
r#002208,r00322255
n#015892,n02948942
n#013781,n02592607
n#038705,n07152590
n#081459,n15183802
r#002389,r00349309
n#052695,n09797606
a#006356,a01162406
v#000708,v00155869
n#038002,n07018211
n#019311,n03527565
n#033053,n06069747
a#010325,a01882474
n#044129,n08078819
n#063011,n11643684
r#001632,r00239215
a#011589,a02115759
n#007756,n01532511
n#043733,n07990377
n#003087,n00609868
a#016369,a02879424
n#007021,n01377694
n#078035,n14569683
n#043002,n07866868
v#001144,v00241038
n#065611,n12183452
v#004584,v00952524
n#031246,n05684839
n#010715,n02066245
v#009837,v01977266
n#021411,n03883944
n#065362,n12132092
a#008828,a01613047
n#072122,n13499393
n#011621,n02220393
n#041983,n07712559
n#060738,n11185392
n#010242,n01985493
n#080664,n15041688
n#068823,n12858871
n#028770,n05204004
v#012103,v02430191
n#078154,n14591635
n#069944,n13088858
n#054319,n10075299
n#022190,n04016133
n#029858,n05411571
a#010136,a01844742
a#013043,a02354234
a#010288,a01875227
n#060833,n11202063
n#009534,n01851996
n#021502,n03898500
a#015908,a02807775
a#001903,a00343360
n#019693,n03594010
a#007707,a01413247
n#004188,n00823884
n#035312,n06544841
n#037864,n06994700
n#071148,n13319726
n#000899,n00196848
n#050660,n09438055
n#019532,n03565991
r#000521,r00087542
n#052494,n09759311
n#044708,n08211924
n#008968,n01748100
n#011102,n02129923
n#003824,n00748515
n#040584,n07494972
n#003977,n00783199
n#041486,n07640014
n#001494,n00310425
a#007610,a01396800
n#002407,n00488051
n#017598,n03237212
v#013166,v02655698
n#048627,n09042924
n#053892,n09999443
n#020078,n03655838
a#013332,a02408470
n#056103,n10362682
n#027379,n04937427
n#028116,n05074057
n#075845,n14175727
v#008747,v01756563
n#060856,n11206356
v#008121,v01628899
n#032710,n05981546
n#027726,n04998254
n#059131,n10888151
a#013493,a02437148
n#032888,n06023675
n#041564,n07651454
n#021354,n03874293
a#016811,a02948281
n#059062,n10875468
n#008747,n01708998
a#017358,a03032642
a#003186,a00572060
n#050689,n09443281
n#042641,n07814634
n#063133,n11674019
n#029422,n05330244
n#062309,n11467650
v#006445,v01307771
a#011818,a02152848
v#005810,v01193721
a#002032,a00369941
n#022402,n04051549
a#004964,a00907032
a#016735,a02936627
a#017649,a03079293
n#046549,n08586036
n#021660,n03924069
n#001388,n00291965
n#065049,n12070381
n#017684,n03252959
n#082994,n80000880
r#000094,r00018918
n#063090,n11659068
n#012054,n02294279
v#009014,v01813228
v#005916,v01214597
n#016128,n02988486
r#000177,r00033809
r#002800,r00410881
n#057166,n10551898
a#007502,a01377721
n#048550,n09026614
r#000606,r00099868
v#010890,v02183024
n#035117,n06508299
n#061501,n11322344
r#000247,r00045379
n#010728,n02068735
n#078250,n14610088
n#016519,n03053474
n#076942,n14364802
n#029993,n05440756
n#017379,n03201035
n#050380,n09381480
n#074060,n13833256
a#012632,a02282985
n#053144,n09873769
n#077524,n14474556
n#013164,n02482060
a#002855,a00508036
n#033341,n06148148
a#012763,a02305394
n#023629,n04255163
n#052270,n09727440
a#009872,a01796977
n#054400,n10088200
a#012178,a02206881
n#041810,n07685918
n#028313,n05111704
a#013020,a02350590
v#004843,v01007027
r#000311,r00055518
n#080836,n15070366
n#061344,n11295619
v#005051,v01050896
v#004952,v01031109
n#031872,n05810948
v#003524,v00720497
n#064027,n11855122
a#013693,a02471602
n#011481,n02196119
n#077775,n14522809
n#020411,n03711999
n#026172,n04693384
v#007900,v01589723
n#060990,n11229095
n#041903,n07699682
n#073389,n13717155
n#075396,n14083559
a#012259,a02219770
v#009865,v01981791
n#059096,n10881986
n#003514,n00689550
n#034992,n06486874
n#011586,n02214341
n#083205,n80001098
n#008646,n01690857
a#004907,a00894879
n#042825,n07842130
n#050696,n09444942
n#032526,n05945383
n#070827,n13266892
n#060550,n11153094
n#046878,n08649873
r#000460,r00079354
v#008646,v01737417
n#032657,n05970311
v#004365,v00905399
n#078683,n14697839
n#069046,n12906334
v#012760,v02569495
n#082336,n80000222
n#013229,n02493224
v#007402,v01491360
n#070493,n13204276
n#075691,n14142207
n#032339,n05907479
n#039648,n07326262
n#041051,n07580053
n#040952,n07563642
n#047524,n08792548
n#060099,n11070387
n#064350,n11925898
a#010693,a01954128
a#003285,a00591513
n#040843,n07542249
a#008271,a01506661
n#056894,n10506417
a#003415,a00615655
n#031055,n05647867
a#008594,a01565751
a#016625,a02919733
n#007565,n01485479
n#075235,n14053717
n#072631,n13601596
n#058965,n10857697
n#000671,n00152727
n#043900,n08028999
n#058959,n10856799
n#022820,n04122492
n#049976,n09302263
n#006643,n01297706
n#017200,n03168217
n#032790,n05999134
v#006842,v01382606
n#001874,n00383390
a#008150,a01486489
n#020705,n03766600
n#009625,n01876326
a#002976,a00532147
a#008438,a01537269
n#071970,n13468954
n#031673,n05770391
a#013449,a02430096
n#000752,n00168911
n#083215,n80001110
a#003106,a00557108
a#007914,a01448058
r#003551,r00509145
v#004591,v00954137
n#075799,n14166118
n#043402,n07925116
n#037475,n06934848
v#011155,v02238770
a#014753,a02644602
a#005265,a00960856
a#015249,a02715802
n#058955,n10855834
n#010052,n01951721
n#053891,n09999135
n#076017,n14208342
n#014078,n02643836
n#035847,n06643408
a#000156,a00032358
a#000760,a00141746
n#056760,n10485168
n#070459,n13197670
n#030723,n05585665
n#009808,n01906178
r#003050,r00444720
n#036923,n06840648
n#014597,n02737166
a#015807,a02793273
v#012874,v02593551
n#072660,n13610815
n#036791,n06820837
v#005455,v01126219
n#033240,n06121854
n#070690,n13243134
n#042819,n07841345
v#001591,v00327010
a#005216,a00952181
a#004353,a00791044
a#004388,a00797218
n#042842,n07845087
n#027970,n05045381
n#079437,n14829765
n#076303,n14257563
n#008274,n01619152
a#012414,a02245318
n#054787,n10148035
n#030814,n05603854
n#022767,n04114428
a#001728,a00314023
n#008555,n01674850
n#066156,n12304703
a#015162,a02703911
n#002360,n00478647
n#048927,n09103648
n#049206,n09156095
n#008446,n01650509
n#039135,n07233415
v#011319,v02272090
v#003651,v00746242
a#014589,a02619839
n#058585,n10782135
n#000430,n00108427
a#003624,a00653044
n#035932,n06659530
n#081790,n15241311
v#004650,v00966330
n#026324,n04723436
n#015887,n02948293
n#079649,n14867690
v#001566,v00322395
n#053069,n09862713
a#012819,a02315461
a#001993,a00359459
a#001107,a00206127
v#000859,v00185465
n#055155,n10206887
v#003864,v00792471
v#011441,v02297742
a#018073,a03144004
r#002967,r00433637
n#075611,n14124931
n#020812,n03784139
n#005116,n01004072
n#082255,n80000141
n#041455,n07636126
v#004224,v00876332
v#011540,v02316649
r#002970,r00434063
n#054052,n10027953
n#037972,n07013400
n#079748,n14884581
v#010300,v02066510
n#064097,n11871496
n#073411,n13720501
a#011199,a02043729
a#001920,a00346368
n#021118,n03835941
n#070725,n13249154
r#000817,r00128660
r#001336,r00196203
r#002390,r00349454
v#007482,v01507596
n#070358,n13177529
n#074580,n13925550
n#020101,n03660124
v#008753,v01757546
n#009568,n01857512
a#011411,a02083053
a#001538,a00275290
v#002420,v00497705
a#007027,a01289607
n#009461,n01839949
n#066961,n12471825
n#050992,n09498697
a#000277,a00054109
n#067103,n12505253
n#010240,n01985128
n#067010,n12482668
n#002736,n00550016
a#014341,a02584459
n#078397,n14639556
n#055319,n10237196
n#047651,n08821885
n#055441,n10256756
n#015682,n02915675
n#073945,n13813042
a#008831,a01613839
n#044859,n08236621
n#047864,n08879680
n#029250,n05296639
n#024016,n04315828
n#024884,n04462576
n#045566,n08373544
n#065006,n12061104
n#078932,n14744291
n#043503,n07940121
n#063901,n11828973
n#054300,n10071332
n#040224,n07432119
n#055540,n10272171
a#002231,a00395626
n#027207,n04902797
n#002043,n00415540
n#001679,n00345297
n#049434,n09199219
n#048654,n09052652
n#081523,n15194506
n#046420,n08559766
v#002939,v00590642
n#055026,n10186068
n#074777,n13965515
a#017998,a03133883
n#034886,n06465139
n#043482,n07936263
n#015100,n02821030
n#078375,n14634999
n#015013,n02807616
n#066975,n12474828
a#001086,a00202411
v#002169,v00445467
v#008888,v01786620
n#022551,n04077734
n#059743,n11004861
v#007242,v01459542
v#001265,v00265094
a#000988,a00182961
r#002519,r00368481
v#013322,v02689299
n#054067,n10030277
a#016989,a02977638
a#014960,a02673712
a#009933,a01808822
v#010017,v02011560
n#000848,n00187056
a#016808,a02947928
n#059289,n10918558
n#028792,n05208595
n#034806,n06445729
n#015797,n02933340
n#033506,n06187350
n#028683,n05186090
a#001869,a00336168
a#011867,a02159787
n#065493,n12157276
r#000798,r00126427
n#045333,n08324514
n#065129,n12087207
n#049974,n09302031
r#001445,r00211964
n#022294,n04033082
n#002478,n00503237
a#010517,a01918001
n#077989,n14561839
n#071119,n13315364
n#067851,n12658846
a#007313,a01341822
n#075407,n14086143
r#002114,r00306268
a#012113,a02197130
a#010745,a01962492
a#014211,a02561888
n#065782,n12225349
n#028228,n05096294
n#008130,n01594004
v#012386,v02488488
r#000104,r00020676
n#074887,n13985462
n#046939,n08661277
n#071501,n13382614
r#000639,r00104345
n#057322,n10578349
n#053431,n09920106
a#006764,a01236716
r#001057,r00158831
n#016157,n02993877
n#053146,n09874014
n#015307,n02853016
a#001854,a00333611
n#017467,n03215930
n#049897,n09288946
v#006138,v01254912
a#012262,a02220099
n#064054,n11861021
n#066620,n12398526
v#000448,v00090888
